ds,the_magic_carpets_of_aladdin,a_pirates_adventure_treasures_of_the_seven_seas,astro_orbiter,dumbo_the_flying_elephant,date
10/8/2019 21:20,6.784682848,-0.054839003,20.90827637,8.984432578,10/8/2019
10/9/2019 8:20,-2.401461848,-0.053452531,9.094631368,-0.177615567,10/9/2019
10/9/2019 9:20,4.73972779,-0.053641241,18.50130002,7.605967072,10/9/2019
10/9/2019 10:20,14.06078573,-0.055174398,28.44287627,17.77474246,10/9/2019
10/9/2019 11:20,21.89423462,-0.056461249,35.34830089,26.84199105,10/9/2019
10/9/2019 12:20,25.30793629,-0.054806301,37.50271317,31.99644224,10/9/2019
10/9/2019 13:20,24.21698555,-0.048992701,35.9379284,32.89764615,10/9/2019
10/9/2019 14:20,21.25149251,-0.041110574,33.30116313,31.47967406,10/9/2019
10/9/2019 15:20,19.50592169,-0.035649089,31.79349852,30.06026862,10/9/2019
10/9/2019 16:20,20.1159136,-0.036284534,31.86579557,29.47406444,10/9/2019
10/9/2019 17:20,21.66667386,-0.043005324,32.47626756,28.77181895,10/9/2019
10/9/2019 18:20,21.73261936,-0.052074096,32.29959711,26.50306786,10/9/2019
10/9/2019 19:20,19.00342687,-0.058882025,30.65799051,22.21153938,10/9/2019
10/9/2019 20:20,14.13938573,-0.061242057,27.54867538,16.78225998,10/9/2019
10/9/2019 21:20,8.870507473,-0.060404645,23.18338538,11.54056435,10/9/2019
10/10/2019 8:20,-1.235421065,-0.059861807,9.698139873,1.309205687,10/10/2019
10/10/2019 9:20,5.677181618,-0.059440754,18.84622876,8.764331735,10/10/2019
10/10/2019 10:20,14.75368702,-0.060276354,28.52174669,18.57755414,10/10/2019
10/10/2019 11:20,22.32948088,-0.060789325,35.15669491,27.26652017,10/10/2019
10/10/2019 12:20,25.47547759,-0.058296756,37.03937089,32.0246918,10/10/2019
10/10/2019 13:20,24.10997638,-0.051595301,35.20480742,32.51665946,10/10/2019
10/10/2019 14:20,20.86640398,-0.042789321,32.30345855,30.68177999,10/10/2019
10/10/2019 15:20,18.84261252,-0.036382741,30.53962305,28.84326095,10/10/2019
10/10/2019 16:20,19.17765887,-0.036066914,30.3673197,27.84131239,10/10/2019
10/10/2019 17:20,20.46015095,-0.041845406,30.74782031,26.73230719,10/10/2019
10/10/2019 18:20,20.26785114,-0.049995878,30.35872823,24.07136491,10/10/2019
10/10/2019 19:20,17.29368276,-0.055924181,28.52499569,19.40769431,10/10/2019
10/10/2019 20:20,12.20104159,-0.057457374,25.24638625,13.6316283,10/10/2019
10/10/2019 21:20,6.722866036,-0.05585926,20.73692677,8.073564797,10/10/2019
10/11/2019 8:20,-3.850732007,-0.053857643,7.664526374,-2.60323044,10/11/2019
10/11/2019 9:20,3.205826366,-0.054015098,17.03040438,5.130191052,10/11/2019
10/11/2019 10:20,12.45493214,-0.055534186,26.94801831,15.27238561,10/11/2019
10/11/2019 11:20,20.2301048,-0.056826251,33.84687921,24.33815544,10/11/2019
10/11/2019 12:20,23.60006141,-0.055197443,36.01252392,29.5175134,10/11/2019
10/11/2019 13:20,22.48059845,-0.049432048,34.47698514,30.47103329,10/11/2019
